ETS2
FOS
JUN
KLF4
NFKB1
TNIP3
JAK1
TYK2
HIF1A
BCL3
EGLN1
MYC
CTNNB1
ID1
ID3
EGLN3
CEBPA
CEBPB
CEBPD
GATA1
IRF4
KDM6B
MAF
RUNX1
MIR183
MIR30E
MIR1245A
MIR150
MIR185
MIR223
MIR378
MIR17
MIR20A
DCLRE1B
HSP90AA1
HSP90AA2
HSPC2
HSP90AB1
HSP90B1
BLM
BRCA1
BRCA2
EME1
ERCC1
C17orf70
C1orf86
C19orf40
FANCA
FANCB
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCI
BRIP1
FACNCL
FANCM
PALB2
HELQ
HES1
C6orf61
C20orf154
MCM8
MUS81
POLH
POLL
POLN
POLQ
REV3L
RBX1
REV1
SMARCAL1
KAT5
TOP3A
WDR48
UBE2T
USP1
ERCC4
VEGFA
KDR
FLT1
THBS1
CD36
CD47
IL10
IL13
IL4
IL6
STAT1
CD74
IL6R
JAK2
LGALS1
MIF
SMAD2
SMAD3
SMAD4
STAT3
TGFBR1
TGFBR2
TGFB1
TGFB2
TGFB3
STAT6
SLC16A1
SLC16A3
SLC16A4
SLC3A2
CSF1
CSF1R
CSF2RB
CSF3R
GSF3
IL10RA
IL10RB
IL13RA1
IL13RA2
IL2RG
IL3
IL3RA
IL4R
JAK3
LGALS3
SOCS3
CSF3
MIR155
BAD
RAF1
MAPK3
MAPK1
MAP2K1
HRAS
PDPK1
PTEN
AKT1
EIF4E
TP53
BAK1
BBC3
YWHAB
MAP2K2
MKNK1
MKNK2
BAX
BCL2L1
BCL2
RASA1
FOXO3
PRKCD
ADAM9
STAT5A
STAT5B
YWHAG
YWHAH
YWHAE
YWHAQ
YWHAZ
SFN
CD80
IFNG
CAV1
IDH3A
IFNGR1
IFNGR2
IGFBP3
IGFBP4
IQGAP1
JUND
PDPN
RB1
RBPJ
SERPINE1
SERPINF1
SIRT3
SMAD7
SOD2
SPARC
SQSTM1
TFAM
IGF2R
MIR149
MIR31
MIR320A
MIR205
MIR214
MIR141
MIR200B
MIR101-1
MIR101-2
AKT2
AKT3
CDH2
FOXO1
MAPK11
MAPK12
MAPK13
MAPK14
RAC1
CAMK2A
CAMK2B
CAMK2D
CAMK2G
